minfpktl,meanfpktl,maxfpktl,stdfpktl,minbpktl,meanbkptl,maxbpktl,stdbpktl,minfiat,meanfiat,maxfiat,stdfiat,minbiat,meanbiat,maxbiat,stdbiat,duration,proto,totalfpkt,totalfvol,totalbpkt,totalbvol,class
52,225,756,248,52,231,804,254,136,40103,252552,61819,67,42274,154743,44619,681767,6,18,4062,17,3933,localForwarding
52,1485,1500,127,52,58,804,32,6,1901,883122,13501,38,3586,922529,18743,10698697,6,5627,8358506,2984,175245,localForwarding
52,1487,1500,123,52,58,804,31,6,1751,944604,13527,38,3321,983714,19047,20697049,6,10717,15937034,5679,332365,localForwarding
52,1489,1500,109,52,58,804,27,6,1578,944604,10547,38,3000,983714,14851,30346971,6,17945,26736226,9502,551713,localForwarding
52,1488,1500,115,52,58,804,29,6,1619,964586,11772,38,3086,1004516,16676,40698260,6,21583,32135722,11416,667113,localForwarding
52,1489,1500,114,52,58,804,29,6,1572,964586,10543,38,2999,1004516,14945,50697350,6,27366,40749246,14475,845141,localForwarding
52,1490,1500,106,52,58,804,27,6,1507,964586,9322,38,2872,1004516,13193,60697769,6,35186,52445902,18596,1080745,localForwarding
52,1488,1500,119,52,58,1500,37,6,1555,964586,9404,38,2978,1004516,13402,69415852,6,35937,53481922,19024,1120745,localForwarding
52,1485,1500,131,52,59,1500,40,6,1615,964586,9387,30,3095,1004516,13412,80669878,6,38072,56570414,20169,1197245,localForwarding
52,1486,1500,126,52,59,1500,37,6,1589,964586,8760,30,3038,1004516,12476,90665814,6,44971,66866242,23839,1407713,localForwarding
52,1487,1500,123,52,58,1500,36,6,1573,964586,8385,30,3010,1004516,11970,100697576,6,50579,75234418,26791,1579473,localForwarding
52,1486,1500,126,52,59,1500,37,6,1579,964586,8202,30,3024,1004516,11736,110698540,6,54161,80536578,28693,1694489,localForwarding
52,1488,1500,120,52,58,1500,35,6,1545,964586,7696,30,2957,1004516,10995,120698344,6,61797,91956050,32725,1924937,localForwarding
52,1488,1500,119,52,58,1500,34,6,1540,964586,7437,30,2946,1004516,10630,130697490,6,67268,100108950,35620,2093621,localForwarding
52,1488,1500,120,52,58,1500,37,6,1537,964586,7251,30,2942,1004516,10379,139593632,6,71882,106971390,38080,2244101,localForwarding
52,1486,1500,127,52,59,1500,39,6,1574,964586,7595,30,3019,1004516,10939,149993200,6,71955,106986770,38145,2259193,localForwarding
52,1486,1500,127,52,59,1500,39,6,1594,964586,7525,28,3055,1004516,10814,160697055,6,76605,113887258,40606,2405357,localForwarding
52,1486,1500,126,52,59,1500,38,6,1588,964586,7323,28,3043,1004516,10527,170697178,6,81988,121911750,43451,2571153,localForwarding
52,1487,1500,123,52,59,1500,37,6,1570,964586,7034,28,3006,1004516,10096,180696491,6,89295,132838146,47311,2791841,localForwarding
52,1487,1500,125,52,59,1500,37,6,1584,964586,7162,28,3034,1004516,10304,190697551,6,91560,136169510,48520,2867269,localForwarding
52,1487,1500,122,52,58,1500,36,6,1583,964586,6967,28,3029,1004516,10006,200697551,6,97952,145724070,51897,3060297,localForwarding
52,1487,1500,122,52,58,1500,36,6,1592,964586,6891,28,3045,1004516,9893,210697838,6,102479,152460818,54312,3201869,localForwarding
52,1488,1500,121,52,58,1500,36,6,1597,964586,6785,28,3056,1004516,9739,219951991,6,107833,160458058,57143,3364009,localForwarding
52,1487,1500,125,52,59,1500,39,6,1630,964586,7681,28,3122,1004516,11052,229900662,6,107894,160469918,57196,3382205,localForwarding
52,1486,1500,128,52,59,1500,39,6,1650,964586,7730,28,3160,1004516,11134,240697871,6,109172,162294478,57887,3432841,localForwarding
52,1487,1500,125,52,59,1500,38,6,1630,964586,7503,28,3122,1004516,10797,250697143,6,116588,173388502,61800,3656477,localForwarding
52,1487,1500,125,52,59,1500,38,6,1633,964586,7844,28,3126,1004516,11277,260697282,6,121379,180522066,64341,3804929,localForwarding
52,1487,1500,125,52,59,1500,38,6,1635,964586,7795,28,3129,1004516,11214,270610656,6,125887,187221290,66751,3946361,localForwarding
52,1487,1500,124,52,59,1500,37,6,1626,964586,7656,28,3111,1004516,11007,280696760,6,131612,195760862,69768,4121533,localForwarding
52,1487,1500,124,52,59,1500,37,6,1635,964586,7693,28,3128,1004516,11130,290125559,6,134861,200587922,71496,4223245,localForwarding
52,1487,1500,122,52,58,1500,37,6,1623,964586,7524,28,3104,1004516,10877,300698505,6,141667,210760538,75081,4428385,localForwarding
52,1487,1500,124,52,59,1500,38,6,1631,964586,7539,28,3123,1004516,10922,309818118,6,143849,213960322,76260,4508525,localForwarding
52,1486,1500,128,52,59,1500,39,6,1654,964586,7652,28,3167,1004516,11091,320679765,6,143934,213979030,76335,4526665,localForwarding
52,1487,1500,126,52,59,1500,39,6,1643,964586,7491,24,3145,1004516,10850,330697799,6,150997,224539426,80055,4739449,localForwarding
52,1487,1500,126,52,59,1500,38,6,1642,964586,7425,24,3142,1004516,10748,340697064,6,156003,231994482,82710,4894357,localForwarding
52,1487,1500,124,52,59,1500,38,6,1636,964586,7321,24,3132,1004516,10599,349497159,6,161837,240708546,85800,5071453,localForwarding
52,1487,1500,125,52,59,1500,38,6,1639,964586,7309,24,3137,1004516,10580,360698030,6,164381,244469514,87146,5154293,localForwarding
52,1487,1500,124,52,59,1500,38,6,1634,964586,7207,24,3127,1004516,10430,370446962,6,170812,254076750,90547,5349097,localForwarding
52,1487,1500,123,52,59,1500,37,6,1627,964586,7109,24,3112,1004516,10284,380696398,6,176438,262477710,93517,5521681,localForwarding
52,1487,1500,124,52,59,1500,39,6,1630,964586,7114,24,3119,1004516,10291,390656611,6,179804,267450558,95318,5637189,localForwarding
52,1486,1500,126,52,59,1500,39,6,1643,964586,7167,24,3145,1004516,10386,400674973,6,179869,267465154,95376,5651245,localForwarding
52,1487,1500,126,52,59,1500,39,6,1643,964586,7097,24,3145,1004516,10274,410697264,6,185940,276512262,98581,5837665,localForwarding
52,1487,1500,126,52,59,1500,39,6,1645,964586,7064,24,3149,1004516,10219,420697048,6,190663,283540698,101083,5983801,localForwarding
52,1487,1500,124,52,59,1500,38,6,1642,964586,6983,24,3142,1004516,10090,430698152,6,197120,293199094,104489,6178577,localForwarding
52,1487,1500,125,52,59,1500,38,6,1652,964586,6991,24,3163,1004516,10104,440696379,6,199600,296846006,105811,6260457,localForwarding
52,1487,1500,124,52,59,1500,38,6,1659,964586,6933,24,3174,1004516,10013,450684332,6,204847,304697250,108589,6419421,localForwarding
52,1487,1500,124,52,59,1500,38,6,1675,964586,6956,24,3203,1004516,10036,460692691,6,207769,309033386,110141,6511261,localForwarding
52,1487,1500,124,52,59,1500,38,6,1700,964586,6974,24,3251,1004516,10051,470693673,6,210491,313106234,111583,6593685,localForwarding
